,Epoch,Fitness Value,Fitness Mean Value,Fitness Worst Value,Individual
0,-1,1.34357170635,1.4017783246872328,1.43947440325,11100111111100011001011110100100000011110100100111011111000000000000110100110000
1,1,1.32502825748,1.3898540821367327,1.43827959419,00011000001101101101110000101101000000000001000100111100111101000000000000011111
2,2,1.33753746598,1.381715390004967,1.41821477176,01010111001101101111110110111101100000100001110100111110110011000000000001011110
3,3,1.32193229824,1.3744515502061008,1.41765804952,00111100000000001100110110110111011111011111110001110110101110000001011111101011
4,4,1.32380600432,1.3649473414986668,1.39670300544,10010110001010111111010110111100100010110101011111001111110101110001010100000000
5,5,1.31890807209,1.357117639254599,1.39380099936,10000111001110111111010110110101101111010010010101111011100100101011001100000000
6,6,1.31228470999,1.3479652812556338,1.37927773714,00011111101110011100110110111111100010010011110101011010100101110111011100000000
7,7,1.30662603192,1.3421786757880336,1.36707553829,00111001001110011001011111111010101010000111000101010101110001110000000011111001
8,8,1.29252494349,1.336936913472799,1.3595380637,00001111001110001001010111111111111010010111000111011110110111110000000011111011
9,9,1.28822130231,1.3270264588339342,1.35637022166,01111111101110011101000111111111101010010111000101011110010111100000000011111011
10,10,1.28540312048,1.3141012905947,1.35609880736,00110111101110011101010110111111101010010111000111010110110110110000000011111001
11,11,1.28427174617,1.2986303858306327,1.34349365499,00110111001110011101010110111110101010100111000101110111101110100000000011111001
12,12,1.28206379779,1.2940476878000664,1.33579158336,00111111001110111101011110111111101010010111000111010111100100100000000011111001
13,13,1.28006363476,1.291312662699867,1.33439946936,00111111001110011101010110111111101010010111000101010111111110110000000011111001
14,14,1.27908037192,1.2893815071193346,1.33203917126,00110111001110111101010110111111101010010111000101010111100111100000000011111001
15,15,1.27738768306,1.2886802668669677,1.33281130594,00110111001110011101010110111111101010010111000101010111110110110000000011111001
16,16,1.27907203673,1.287784285756535,1.33144951406,00110111001110011101010110111111101010010111000101010111010111100000000011111001
17,17,1.27814901622,1.287495073078133,1.32726703474,00110111001110111101010110111111101010010111000101010111100111100000000011111001
18,18,1.27839137264,1.2854988250949997,1.32496933511,00110111001110011101010110111111101010010011000101010111110110100000000011111001
19,19,1.27755261234,1.285529657599565,1.32534686925,00110111001110111101010110111111101010010111000101010111110110100000000011111001
20,20,1.27779912017,1.2859029305169665,1.32597901483,00110111001110011101010110111111101010010111000101010110110110100000000011111001
21,21,1.27761160427,1.2850652546841659,1.32530588531,00110111001110011101010110111111101010010111000101010111100111100000000011111001
22,22,1.27750869868,1.286616097273834,1.32725853126,00110111001110011101010110111111101010010111000101010111110111100000000011111011
23,23,1.27642635694,1.2849120344951668,1.32720380308,00110111001110011101010110111111101010010111000101010111010111100000000011111001
24,24,1.27763867721,1.2848069384989333,1.32775155328,00110111001110011101010110111111101010010111000101010111110111100000000011111001
25,25,1.2774016194,1.285495410263434,1.32536499727,00110111001110011101010110111111101010010111000101010111010110100000000011111001
26,26,1.27789712483,1.2853859988095333,1.32702981893,00110111001110011101010110111111101010010111000101010111010110100000000011111001
27,27,1.27737050418,1.2862645688123673,1.3251441698,00110111001110011101010110111111101010010111000101010111000111100000000011111001
28,28,1.27712788679,1.2843422866508676,1.32741657352,00110111001110011101010110111110101010010111000101010111010111100000000011111001
29,29,1.27701339768,1.285487519952467,1.32691340558,00110111001110011101010110111111101010010111000101010111000110100000000011111001
30,30,1.2774476109,1.2869268163348673,1.32867581827,00110111001110111101010110111111101010010111000101010111010111100000000011111001
31,31,1.27741165263,1.2845078320328676,1.32573341079,00110111001110011101010110111111101010010111000101010111000111100000000011111001
32,32,1.2774584703,1.2863388911392994,1.32802071193,00110111001110011101010110111111101010010111000101010111000111100000000011111001
33,33,1.277493978,1.2853676330120338,1.33013993998,00110111001110011101010110111111101010010111000101010111000110100000000011111001
34,34,1.27697186516,1.285322592941901,1.32684304854,00110111001110011101010110111111101010010111000101010111000111100000000011111001
35,35,1.27738899923,1.2855820436374341,1.32504002291,00110111001110011101010110111111101010010111000101010111000111100000000011111011
36,36,1.27685223903,1.2835818341710332,1.32906851236,00110111001110011101010110111111101010010111000101010111000111100000000011111001
37,37,1.27614042861,1.2864207183769678,1.33053948571,00110111001110011101010110111111101010010111000101010111000110100000000011111001
38,38,1.27705929924,1.2853052635505329,1.33056321017,00110111001110011101010110111111101010010111000101010111000110100000000011111001
39,39,1.27728377159,1.2858788943493324,1.32693076025,00110111001110011101010110111111101010010111000101010111000111100000000011111001
40,40,1.27649054156,1.2855312960847665,1.32764953487,00110111001110011101010110111111101010010111000101010111000110100000000011111001
