,Epoch,Fitness Value,Fitness Mean Value,Fitness Worst Value,Individual
0,-1,24811.687424,163667.70778453324,374352.940544,11100101011001011111101010011111100100100011010101010111011111101001011010010010
1,1,18075.075072,147375.70023424,393535.431168,01011000011111100101010101101010110111000111001110111000001111011000111001111000
2,2,12651.442688,130399.51819093339,356260.899328,01001011100110111111101010111011110000011011101110000111011100110111111001011111
3,3,16466.409984,131213.5780420266,346425.327104,11110001111110011001010101001100101110001001110101100101100101110101111101010101
4,4,15682.56256,119248.37618005338,285971.441152,11010010100100011000011010101101111100101000000110111010101000111010101011001111
5,5,8594.328064,118526.29039786661,295677.720064,11000111111010100110101110110100101101101001000011000010101001111110010110011001
6,6,15204.969984,114370.04156928,276814.139904,11000111111001001010001010010101011111101101000011000100101101101010011010110110
7,7,9896.585728,123505.93276586672,291499.934208,11000000111010110111101010110001011001001001011011000100101111111001101010101101
8,8,14064.496128,116682.26130602667,301592.128,10010010011001101010010110101001011010011000010111001000101101110111110001110110
9,9,10651.23072,113612.24880128006,372988.385792,11001001011100011000100010011101011010001101101011001111101101110110010010010001
10,10,10084.664832,103559.69040042665,310574.362112,11000100010110011101101010001101011111101001111110110010101000001011010010010100
11,11,7753.18784,103203.73722794662,308748.15744,10000110011111111001100010011100011010001101111011010111101110111010000011010001
12,12,6808.493568,99232.41043285327,267781.478912,11000010011010101011000110100110110111001001111010110010101010111000101111010100
13,13,7990.94528,91962.31646890665,302931.532288,10001110011100101001110110001001011111011101111010111111101010111010101011100101
14,14,4390.977024,81406.29245952009,255784.924672,11000111011001001001000110111000011111001001011010101000100011001001010111010001
15,15,3778.81856,75651.77840298672,212228.412928,11000111011100101010100010001000011111011001111010110011110000000110010110001100
16,16,1568.774656,73315.40828160006,269673.985536,11000111011011001001000010101001011011001001111010111010100110001000010110010000
17,17,3082.463744,74458.31622655998,214438.608384,10010101011111011011100110011110011111011001101010100001101000000111111110010101
18,18,1963.124224,70239.00089685341,268521.531904,11010111011111011000010010111011011010111001011010110000100100010110000010011000
19,19,2133.411328,69914.11881983998,202352.781824,11000101011111011000100010011101011011111001111010100000100010110111010110010111
20,20,1027.926528,68347.31199829334,240850.104832,11000011011110101000110110000010011110001001111010101000100000011011011110000101
21,21,1373.056512,74308.09701034664,279971.2384,10000101011110011000100110001000011111111001001010110001100000000111010110000101
22,22,1566.93248,64156.73974442661,301994.223104,10000111011110011001110110000111011111101001001110100000101011010110010010010011
23,23,1672.560128,72038.16323413332,287310.44608,10000111011110101001100010011000011011111001100110111011100000000110011010010011
24,24,1657.026048,67198.04202666663,250930.223616,10010010011110111001110010101100011111111001000010111111100010100110011010010011
25,25,1652.868608,65593.82242645335,236547.03872,10000111011110011000100110001111011110101001011010100110101110110110010010010101
26,26,1350.917632,64081.063454719995,220612.209152,10000110011110011000110010010101011111101001110010100000100001010110110010000011
27,27,1216.54528,65127.199901013315,297027.52512,10000110011110011001100010011100011111101001111010001101101001010110101010010110
28,28,1176.9472,61801.56335104,251436.144128,10000110011110001001110110001101011111101001110010000101100011010110101010010000
29,29,1059.224064,62039.52459775993,239119.739392,10000010011110111001100010011000011111111001111010001101101000010111111110010010
30,30,1022.926336,69903.84130730669,282699.534848,10000111011110001001110010001011011111101001100010000010100000010111100110010101
31,31,850.64448,62292.47902720003,228567.694848,10000111011111001001110010001001011111101001011010100111100010110111100010010010
32,32,766.074368,71835.13074688002,234586.975744,10000011011110011000100110001101011111101001010010000010100010100111110110010000
33,33,1121.284608,67275.92771925335,220583.351808,10000001011111001000110110011001011111101001100010000000100001000111101010010001
34,34,946.244096,66884.0351573333,254600.827392,10000111011110111000101110011110011111101001110010001100101000100111110010010100
35,35,813.321728,67265.89882026667,253936.685568,10000110011111001000110110001000011101101001001010000100100000110111111010010100
36,36,828.548608,63318.44097024,228466.175488,10000010011111001000100110001111011111101001010010000011100000100111111010010010
37,37,822.352384,62597.37669290662,219253.616128,10000011011110011000110110001111011111101001100010000011100010010111110110010011
38,38,904.646144,73288.32731818662,240035.449344,10000010011110011000110110001111011111001001100010000011100000100111100010010011
39,39,778.905088,65900.49552384001,241681.474048,10000111011110011000111110001111011111101001000010000001100010010111111110010011
40,40,769.723904,67203.38698581341,312186.151424,10000111011110001001110110001011011111101001001010000001100010010111111110010000
