,Epoch,Fitness Value,Fitness Mean Value,Fitness Worst Value,Individual
0,-1,4905.6,12935.299199999998,18271.42,00110011010101100110011010001000100110010111000101110011110100101101010000101011
1,1,4816.24,10331.362200000001,13758.28,10110001010001100110110110111110000110010111010011000011110100100101111001111111
2,2,4816.24,8645.278400000001,11236.59,10110001010001100110110110111110000110010111010011000011110100100101111001111111
3,3,3259.29,7173.696599999999,10466.61,10110011010001100110110010001010000010110111010111110011110100101101010001101011
4,4,2336.64,5692.5549,8055.54,00110001010001100110110010101111000100110111010101100011110100101101010001101111
5,5,2200.42,4518.800300000001,6641.96,11100001111101100110100000100100001000010111000000111011110100111111011000111111
6,6,1915.74,3828.3639000000003,6473.16,00010011010101100110110010101110000110110111010011000011010100101110011001101101
7,7,1293.18,3247.7244999999994,4794.32,11110000111101100110100010100100000110110111010001010011010100101110011000101111
8,8,1293.18,2789.8206999999993,4426.86,11110000111101100110100010100100000110110111010001010011010100101110011000101111
9,9,888.27,2528.1166000000003,3935.38,00000011010101100110100010001110000000111111010000110011110100101111011001101101
10,10,478.34,2244.8870999999995,3740.92,00110001110101100110110010101100000110111111010001010011110110101111011000101011
11,11,478.34,2068.8577999999998,4000.46,00110001110101100110110010101100000110111111010001010011110110101111011000101011
12,12,443.37,1778.8126000000002,3423.93,00100001011101100110110010100100000110111111010001110011110100101111010000101111
13,13,443.37,1520.8455999999996,3182.66,00100001011101100110110010100100000110111111010001110011110100101111010000101111
14,14,443.37,1471.386,2979.49,00100001011101100110110010100100000110111111010001110011110100101111010000101111
15,15,331.0,1341.2688,2599.32,00000001110101100110100010101100000010111111000001110011110100101111011010101111
16,16,270.68,1161.7923000000003,2525.87,10100001110101100110110010101100000010111111010000110011110100101111011010101111
17,17,223.74,1083.5814,2215.3,00100011111101100110110010101100000010111111010001110011110110101111011000101111
18,18,222.67,1057.5614,2422.82,00100001110101100110110010101100000010111111010001110011110100101111011000101111
19,19,186.22,1145.1505,2584.98,00000001110101100110100010101100000010111111010000110011110100101111011010101101
20,20,144.03,977.3067000000003,2229.02,00000001110101100110110010101100000010111111010001110011110100101111011010101101
21,21,98.6,968.0403000000006,2467.05,00000001111101100110110010100100000010111111010001010011110100101111011010101110
22,22,98.6,1104.3608,2651.98,00000001111101100110110010100100000010111111010001010011110100101111011010101110
23,23,56.66,1205.6997000000003,3053.47,00001001110101100110110010101100000010111111010001010011110100101111011010001010
24,24,56.66,1056.365,2603.49,00001001110101100110110010101100000010111111010001010011110100101111011010001010
25,25,56.66,1020.9878999999997,2501.2,00001001110101100110110010101100000010111111010001010011110100101111011010001010
26,26,56.66,993.2365000000001,2414.22,00001001110101100110110010101100000010111111010001010011110100101111011010001010
27,27,56.66,1050.2981,2716.55,00001001110101100110110010101100000010111111010001010011110100101111011010001010
28,28,20.58,1023.4922000000005,2241.9,00001001111101100110110010100100000010111111010001010011110100101111011010001110
29,29,20.58,968.9611,2253.59,00001001111101100110110010100100000010111111010001010011110100101111011010001110
30,30,20.58,1002.1500000000001,2212.29,00001001111101100110110010100100000010111111010001010011110100101111011010001110
