,Epoch,Fitness Value,Fitness Mean Value,Fitness Worst Value,Individual
0,-1,8364.06,12840.610700000001,18546.3,10000110111011101110000000011110000110110001011001000001000010100100000010101100
1,1,7654.25,10736.410600000003,14211.26,10000001010011000100111110110101000111011111001011000011100011101011010110011001
2,2,5403.84,9277.7967,12664.24,11000001110000100010100010000000000100111001010001011111100100000100010101001110
3,3,5331.7,8128.537899999999,12314.68,10010011011011000110101000100110001100111001010001111011000110011101010100101101
4,4,4540.04,7126.665599999999,9884.92,01001011101001100100111010001011000010111111011111110011100111001011010011100110
5,5,2988.92,6277.215600000001,9572.98,11000000111101100110101010001000000011111101010001111011110100111100010010000111
6,6,3117.51,5500.823600000001,9266.07,00010011111101100110101010000110000000111001000001111011100100111100010101100111
7,7,2733.11,4902.5734999999995,7785.84,01100001111101100100110000000111000010110101000001100111110110001110010110000111
8,8,2571.14,4415.246399999998,7109.6,00110000111101100110101010001101000010111101010011100011010110101110010111101111
9,9,1373.34,3906.1094999999996,6156.09,11011000111101100110110010111100000010111111000001110011110000101111011010000110
10,10,1328.7,3528.8231999999994,6404.43,11011000111101100110110010101111000010111111011001111011110100101111010110001110
11,11,1424.92,3422.0344,6958.26,01111000111101100110100010001110000110011101000001011011110100001111011010001000
12,12,1072.53,3023.1318000000006,7301.4,01111000111101100110100010001111000110111111000000010011110100001111010010001100
13,13,701.02,2626.091699999999,5786.74,10101010110101100110101010100110000010111111010000010011110100101110010010001100
14,14,779.52,2381.1105000000007,5440.59,10111000110101100110100010101110000110111101010000011011110100101111011010000110
15,15,307.13,2231.3316999999997,4280.73,10001011111101100110100010101110000000111101010000000011110100101111011010001010
16,16,655.12,2028.9404999999997,4378.4,10000001111101100110100010100110000100111101010000001011110100001111011010001110
17,17,780.84,1952.6618999999998,4251.9,11101010110101100110100010100100000000111101011001000011100100101111010010011000
18,18,732.62,1896.1942,4341.12,00001001111101100110100010110110000110111111000001010011110100001111011010101100
19,19,401.53,1819.7693999999997,3526.6,11101011110101100110110010100100000010111111000000000011110100101111011010001000
20,20,457.04,1817.4877999999999,3737.8,10011010110101100110100010100110000110111111010000010011110100001111010010011101
21,21,611.34,1728.097599999999,3685.87,00001010111101100110100000100110000110111101010001000011100100001111011010001011
22,22,493.23,1908.6699000000008,7057.49,01001010110101100110100010100110000000111101010001010011100100101111011010011011
23,23,523.75,1774.5242000000005,3423.1,10101010110101100110110010101100000000111101010000110011100100001111011010111111
24,24,508.32,1797.6845000000003,4590.54,00001010110101100110100010100110000100111111000001110011110100101111010000101001
25,25,487.16,1787.5774000000001,4595.15,10100010110101100110110010101110000110111101010000110011110100001111011010111011
26,26,466.54,1738.0088000000003,3672.1,00100000110101100110110010100110000010111111010001110011110100011111010010101010
27,27,455.32,1685.5214,3518.82,11000001100101100110100010100100000010111101010000010011110100001111010000001100
28,28,491.1,1900.0647,4818.28,11001000100101100110100010100100000000111111010000110011110100101111011010000010
29,29,510.35,1755.5219000000004,4973.28,10001011111101100110110010101110000000111111010000100011100100101110010000010000
30,30,504.44,1722.1813,4506.9,00101011110101100110110010100100000110111111010000110011100100001110011010100111
