,Epoch,Fitness Value,Fitness Mean Value,Fitness Worst Value,Individual
0,-1,7906.41,12847.916500000003,17341.72,10011000010000001110110000001110010110101101110001010111111000110110011011011101
1,1,7420.06,10703.527299999992,14732.65,10011000100000110010110000100100100101110101010111110010101110110110011000011111
2,2,5676.62,9144.6029,12693.45,10011011011000100010111010100111010110111101000011010001110110100111101001001000
3,3,5727.06,8138.128800000003,11068.41,00001101011101100010101010000101010110111111000001010010001110101111100001111110
4,4,3805.33,6938.2427,10091.26,00001010111100000010110010010101000111111101010100000001110110101111010001111110
5,5,2921.55,6046.659700000001,9461.65,00001011011100000010110010011100000110111101010001010010010110101111010000111110
6,6,2242.3,4706.777699999999,7082.15,00011001010101100010110010100100011110111111000000010011110110101111010001111110
7,7,1574.0,3814.7880999999998,6008.27,10001001110101100010100010100100010110111111000000010011110110101111010001111110
8,8,984.24,3174.5195999999996,5516.21,00011011101101100010110010000100000110111111010000100011110110101111011000100110
9,9,1361.4,2566.2679000000003,4193.7,10011011101101100110110010000101000110111111010001100011110110101110011100000010
10,10,508.9,2186.7070000000003,3966.3,10001011101101100110110010000100000110111111010001110011110110101111011000000010
11,11,668.62,1702.5873000000004,3888.74,10001001111101100110111010001100000110111111010001000011110100101111010000100111
12,12,512.23,1478.4090000000008,2939.0,10001011111101100110110010000100000110111111000001000011110110101111010000000011
13,13,502.81,1307.0751999999995,2822.25,00001011111101100110100010000100000110111111000001110011110110101111010000000101
14,14,381.86,1101.3817,2354.69,10001011111101100110100010000100000110111111010001010011110100101111010000000000
15,15,208.9,943.0614999999999,2202.28,10001011110101100110110010100100000110111111010001100011110110101111010000010110
16,16,323.93,876.3390999999996,3091.13,00001011111101100110100010000100000110111111010001110011110100101111010000000010
17,17,300.91,759.2975,2815.3,00001011111101100110110010000100000110111111010001110011110100101111010000110000
18,18,196.59,833.2324999999998,2517.48,10001011111101100110110010100100000110111111010001100011110110001111010000100011
19,19,128.6,688.8849000000004,2009.41,00001011111101100110110010100100000110111111010001110011110110101111010000000010
20,20,130.6,590.9630000000002,1866.95,00001011111101100110110010100100000110111111010001110011110110101111010000000011
21,21,122.79,591.0826000000002,2344.77,00001011111101100110110010100100000110111111010001110011110100101111010000100011
22,22,117.79,567.8416000000001,2285.24,00001011111101100110110010100100000110111111010001110011110100101111010000000011
23,23,115.79,656.2235000000001,2544.49,00001011111101100110110010100100000110111111010001110011110100101111010000000010
24,24,111.91,515.4389999999999,1877.11,00001001111101100110110010100100000110111111010001010011110100101111010000001011
25,25,109.91,490.27239999999983,2302.78,00001001111101100110110010100100000110111111010001010011110100101111010000001010
26,26,109.91,489.12860000000023,1800.68,00001001111101100110110010100100000110111111010001010011110100101111010000001010
27,27,112.14,503.60670000000005,2584.13,00001001111101100110110010100100000110111111010001110011110100101111010000000010
28,28,107.14,454.36300000000006,1691.03,00001001111101100110110010100100000110111111010001110011110100101111010000001010
29,29,107.14,414.96810000000005,1620.51,00001001111101100110110010100100000110111111010001110011110100101111010000001010
30,30,107.14,357.4197000000001,1778.44,00001001111101100110110010100100000110111111010001110011110100101111010000001010
31,31,107.14,435.6752999999998,1960.05,00001001111101100110110010100100000110111111010001110011110100101111010000001010
32,32,107.14,485.31450000000007,1830.89,00001001111101100110110010100100000110111111010001110011110100101111010000001010
33,33,107.14,472.6135000000003,2204.95,00001001111101100110110010100100000110111111010001110011110100101111010000001010
34,34,107.14,426.5699000000001,1926.7,00001001111101100110110010100100000110111111010001110011110100101111010000001010
35,35,107.14,429.18889999999993,2646.19,00001001111101100110110010100100000110111111010001110011110100101111010000001010
36,36,107.14,395.02079999999995,1830.7,00001001111101100110110010100100000110111111010001110011110100101111010000001010
37,37,107.14,468.9035,2167.5,00001001111101100110110010100100000110111111010001110011110100101111010000001010
38,38,107.14,450.8517,2729.27,00001001111101100110110010100100000110111111010001110011110100101111010000001010
39,39,107.14,393.02329999999995,1741.63,00001001111101100110110010100100000110111111010001110011110100101111010000001010
40,40,107.14,424.72629999999975,1549.74,00001001111101100110110010100100000110111111010001110011110100101111010000001010
