,Epoch,Fitness Value,Fitness Mean Value,Fitness Worst Value,Individual
0,-1,7978.1,12615.585,17246.45,11010111110101110100101001100111000101110111011101100000111110111110011101100001
1,1,6888.75,10713.74,14063.33,00011001111100100000110001100010010100111111011001010111010010010010010010110000
2,2,5606.11,9532.897200000001,12439.05,00011000011001000110100000110010000010110111011100110011111010001110101000010111
3,3,4997.61,8443.4261,12094.02,00001000111101000111100010101010000010110111011110100011110010101110100000110100
4,4,3776.2,7212.4207000000015,10585.45,11000000110001000100110000111110000100011111010010101011110100001111000001000000
5,5,3009.76,5485.878599999999,8708.86,11000001111001100100110000111110000010111111000001101011100110000111001000000100
6,6,2442.1,4412.9333,7167.36,10001000101101100110110000001011000110111111010000110011100010001110011010011000
7,7,1996.75,3686.3659000000016,5413.92,10001000100101100110110000001111000010111111010101110011100010001110011010011000
8,8,773.9,2802.6944000000008,5076.57,00001000010101100110110000100111000110111111010000110011110100101111010000001000
9,9,773.9,1923.0033000000005,3780.15,00001000010101100110110000100111000110111111010000110011110100101111010000001000
10,10,554.52,1432.4147999999998,3320.65,01001010010101100110110000100110000010111111010000110011110100101111010000011010
11,11,333.08,997.6223,2624.14,10001000110101100110110000100100000010111111010000110011110100101111011000001010
12,12,94.77,792.0394999999999,1941.35,00001000110101100110110010100100000010111111010000000011110100101111011000011010
13,13,69.02,542.1406999999999,1870.87,00001001110101100110110010101100000010111111010000110011110100101111011000011010
14,14,53.21,442.6472000000001,1417.59,00001001110101100110110010101100000010111111010000110011110100101111010000001011
15,15,50.2,484.61950000000013,2219.08,00001001110101100110110010100100000010111111010000100011110100101111011000001111
16,16,25.52,355.7305,1564.42,00001001110101100110110010100100000010111111010000110011110100101111010000001010
17,17,25.52,304.9505,1433.25,00001001110101100110110010100100000010111111010000110011110100101111010000001010
18,18,25.52,374.63770000000005,1753.26,00001001110101100110110010100100000010111111010000110011110100101111010000001010
19,19,25.52,288.2368000000001,1726.26,00001001110101100110110010100100000010111111010000110011110100101111010000001010
20,20,25.52,344.6743000000001,1284.17,00001001110101100110110010100100000010111111010000110011110100101111010000001010
21,21,25.52,292.9020000000001,1948.97,00001001110101100110110010100100000010111111010000110011110100101111010000001010
22,22,25.52,314.3389000000001,1643.75,00001001110101100110110010100100000010111111010000110011110100101111010000001010
23,23,25.52,376.0328999999999,1425.2,00001001110101100110110010100100000010111111010000110011110100101111010000001010
24,24,25.52,300.42700000000013,1685.4,00001001110101100110110010100100000010111111010000110011110100101111010000001010
25,25,25.52,314.44210000000015,1619.63,00001001110101100110110010100100000010111111010000110011110100101111010000001010
26,26,25.52,364.25509999999997,1369.12,00001001110101100110110010100100000010111111010000110011110100101111010000001010
27,27,25.52,272.0742000000001,1412.53,00001001110101100110110010100100000010111111010000110011110100101111010000001010
28,28,25.52,254.7657000000001,1101.16,00001001110101100110110010100100000010111111010000110011110100101111010000001010
29,29,25.52,377.7575,2232.93,00001001110101100110110010100100000010111111010000110011110100101111010000001010
30,30,25.52,363.8884,1544.36,00001001110101100110110010100100000010111111010000110011110100101111010000001010
31,31,25.52,338.62140000000005,2040.62,00001001110101100110110010100100000010111111010000110011110100101111010000001010
32,32,25.52,318.92110000000014,1920.29,00001001110101100110110010100100000010111111010000110011110100101111010000001010
33,33,25.52,270.48000000000013,2302.21,00001001110101100110110010100100000010111111010000110011110100101111010000001010
34,34,25.52,404.3705999999999,1746.45,00001001110101100110110010100100000010111111010000110011110100101111010000001010
35,35,25.52,301.0027000000002,2083.2,00001001110101100110110010100100000010111111010000110011110100101111010000001010
36,36,25.52,335.4613000000001,2106.56,00001001110101100110110010100100000010111111010000110011110100101111010000001010
37,37,25.52,280.5823000000001,1705.69,00001001110101100110110010100100000010111111010000110011110100101111010000001010
38,38,25.52,300.4123000000002,1781.82,00001001110101100110110010100100000010111111010000110011110100101111010000001010
39,39,25.52,237.43930000000012,1298.47,00001001110101100110110010100100000010111111010000110011110100101111010000001010
40,40,25.52,314.547,1586.46,00001001110101100110110010100100000010111111010000110011110100101111010000001010
