,Epoch,Fitness Value,Fitness Mean Value,Fitness Worst Value,Individual
0,-1,7894.16,12564.107399999997,16693.83,10001000110101100110001010000000100100111111001000110111101011111100111111101001
1,1,8273.25,11098.255200000007,14263.41,11000110110111010000101100110000000010111101010000110010000010101101011101101111
2,2,6650.17,9952.5752,13082.16,11000000110011010110101000000100000010010100001001100011010110011101010111111101
3,3,5202.95,8949.709599999996,12288.35,11000000110011100010100000010110000010111101001001100010010110011100010111011101
4,4,5272.67,8141.824100000002,11578.44,01010100010001010010111000100100000010110101011001110011100110111100010101101101
5,5,3448.19,6820.011699999999,9387.07,00001001110011100010100000101100001110111101010001100011000111101111011001001110
6,6,3263.16,5679.063000000002,9372.3,01001001110001100010100000101010001110011101000001100011010110001110011000101110
7,7,2195.28,4822.823099999999,7252.56,00000001010001100110100000101100000110101101010000110011100100101111010001001010
8,8,1586.22,3837.0191000000013,6982.39,01000011110101100010110000100100001010111101010001110011110110101110011001101110
9,9,1202.14,3119.354799999999,5191.12,01001011110101100110100000100100000010111101000000110011010110101110011001001110
10,10,934.53,2506.552399999999,4860.01,01000011100101100110100010001100000010111111010001110011110110001110010001111111
11,11,893.35,2154.0427999999997,4210.41,00000010010101100110100000101100000110111101010001110011110110001110011010010101
12,12,541.63,1972.9258999999997,4858.2,01011011100101100110110010100110000110111111010000110011110110101111010000000010
13,13,520.17,1787.8698999999997,4725.23,00000001110101100110100010001110000010111111010001010011110110101110010000101111
14,14,388.99,1668.5771999999995,3625.65,10000000110101100110110010001100000010111111010000110011110100101111010010101011
15,15,313.64,1461.3023999999996,3667.93,00000011110101100110110010101110000110111101010000110011110110001111010010101110
16,16,321.75,1296.874,3435.58,00000011110101100110100010101110000110111111010001110011110110101111010000111110
17,17,244.79,1137.4596000000001,3907.09,01000011110101100110110010101110000010111111010001110011110110101111010010000001
18,18,141.82,1180.6448,3986.52,01001011110101100110110010101100000010111111010001110011110110101111010000000011
19,19,121.13,1020.5398,3722.7,01001011110101100110110010100100000010111111010001110011110110101111010000000111
20,20,79.99,987.1344000000004,3635.24,00001011110101100110100010100100000010111111010001110011110110101111010010000110
21,21,78.21,1028.2161,4177.17,00001001110101100110100010100100000010111111010001100011110110101111010010001111
22,22,88.07,970.9042999999999,3209.78,00001011110101100110100010100100000010111111010001110011110110101111010000000111
23,23,81.99,829.8679000000002,2923.38,00001011110101100110100010100100000010111111010001110011110110101111010010100011
24,24,51.72,903.1092000000001,2738.42,00001011110101100110110010100100000010111111010001100011110110101111010010100110
25,25,39.1,857.8728,2401.02,00001011111101100110110010100100000010111111010001000011110110101111010010100110
26,26,40.18,856.4757,2908.16,00001011111101100110110010100100000010111111010001000011110110001111010010101110
27,27,18.52,787.7254999999998,2863.14,00001011111101100110110010100100000010111111010001100011110100101111010010101110
28,28,31.33,748.6480000000001,3052.01,00001011111101100110110010100100000010111111010001100011110110101111010010101110
29,29,19.73,761.9722000000005,2830.13,00001011111101100110110010100100000010111111010001110011110100101111010000101110
30,30,24.73,808.7715000000003,2504.86,00001011111101100110110010100100000010111111010001110011110100101111010000100110
31,31,19.87,859.8096999999996,3187.82,00001001111101100110110010100100000010111111010001100011110100101111010010100110
32,32,19.87,776.0379999999999,3004.51,00001001111101100110110010100100000010111111010001100011110100101111010010100110
33,33,9.87,782.4903000000002,3539.25,00001001111101100110110010100100000010111111010001100011110100101111010010001110
34,34,14.87,707.2337000000001,2639.9,00001001111101100110110010100100000010111111010001100011110100101111010010100010
35,35,9.87,749.7485,3002.49,00001001111101100110110010100100000010111111010001100011110100101111010010000010
36,36,9.05,766.8944000000001,2253.22,00001001111101100110110010100100000010111111010000110011110100101111010010000010
37,37,6.87,801.5937000000001,2643.45,00001001111101100110110010100100000010111111010001100011110100101111010010001011
38,38,0.0,748.3940999999999,2731.46,00001001111101100110110010100100000010111111010001110011110100101111010010001010
