,Epoch,Fitness Value,Fitness Mean Value,Fitness Worst Value,Individual
0,-1,7772.26,13052.141000000005,17899.41,01100001011100100010111011010110101100010011010111101010111100001111010011100100
1,1,7377.5,11330.009999999998,15445.93,01011001000110110100100101000011000000110101000000110011110000101110000001010011
2,2,6592.93,9547.1716,13174.51,01100000001001100110100011001001010001011111011010110011110111011010011010110001
3,3,4973.14,8159.674199999998,11592.41,01001000011000101110111000111001000000110111000010110001110100011111010000100000
4,4,3942.87,6973.257100000002,10935.72,11110011101001100100110110101000000000110011011001100011110100111110011010010001
5,5,3307.45,5718.7396000000035,8632.84,01100011101001100100110010101011000010110011011001100011100100011110010000100001
6,6,2796.33,4663.168,7188.62,01000011111001100100110011001100000110110111011000101011100100001110010000100101
7,7,1581.34,3727.127300000001,6038.42,01100011101101100100110010000100000110111111010101011011110100101110010000010001
8,8,1074.21,2999.6971999999996,4944.94,00100011100101100100110010000100000110111111010000011011110100101111010010110001
9,9,1048.39,2200.0731000000005,3710.34,00100010100101100010110010000100000110111111010000010011110100001111011000110001
10,10,648.6,1822.8211000000008,3395.85,01101001110101100110110010101100000000111111010000001011110100001110010010000001
11,11,282.18,1334.6646000000005,2660.77,00000000110101100110110010100100000110111111010000010011110100001111011000010001
12,12,318.13,954.6171999999995,2701.6,00000010110101100110110010100100000010111111010000010011110100001110011000010001
13,13,189.24,783.4766000000001,2106.52,00100011111101100110110010100100000010111111010000000011110100101111010000010001
14,14,48.72,614.2046,2181.18,00001001110101100110110010100100000010111111010000110011110100001111010000010001
15,15,25.78,481.60159999999996,2328.78,00001011111101100110110010100100000010111111010000110011110100101111010000010011
16,16,22.25,371.9397999999999,2113.55,00001001111101100110110010100100000010111111010000110011110100101111010000000001
17,17,16.17,321.8741,2223.69,00001001111101100110110010100100000010111111010000110011110100101111010010000001
18,18,16.05,346.1976,1385.15,00001001111101100110110010100100000010111111010000110011110100101111010010010011
19,19,14.05,241.2894,1404.14,00001001111101100110110010100100000010111111010000110011110100101111010010010010
20,20,11.05,269.62839999999983,1469.09,00001001111101100110110010100100000010111111010000110011110100101111010010000011
21,21,9.05,266.12729999999993,1936.74,00001001111101100110110010100100000010111111010000110011110100101111010010000010
22,22,9.05,316.7235999999998,1425.5,00001001111101100110110010100100000010111111010000110011110100101111010010000010
23,23,9.05,368.5003999999998,1550.69,00001001111101100110110010100100000010111111010000110011110100101111010010000010
24,24,9.05,316.11919999999986,1426.09,00001001111101100110110010100100000010111111010000110011110100101111010010000010
25,25,9.05,364.746,1660.02,00001001111101100110110010100100000010111111010000110011110100101111010010000010
26,26,9.05,370.00359999999984,1934.74,00001001111101100110110010100100000010111111010000110011110100101111010010000010
27,27,9.05,318.1629999999997,2843.18,00001001111101100110110010100100000010111111010000110011110100101111010010000010
28,28,9.05,372.2308999999999,1987.33,00001001111101100110110010100100000010111111010000110011110100101111010010000010
29,29,9.05,314.6429999999998,1267.7,00001001111101100110110010100100000010111111010000110011110100101111010010000010
30,30,9.05,306.4030999999998,1645.24,00001001111101100110110010100100000010111111010000110011110100101111010010000010
31,31,9.05,312.30339999999984,1568.93,00001001111101100110110010100100000010111111010000110011110100101111010010000010
32,32,9.05,297.7406999999998,1811.03,00001001111101100110110010100100000010111111010000110011110100101111010010000010
33,33,9.05,271.7940999999998,2017.93,00001001111101100110110010100100000010111111010000110011110100101111010010000010
34,34,9.05,324.5359999999997,1971.71,00001001111101100110110010100100000010111111010000110011110100101111010010000010
35,35,9.05,300.4782999999999,1580.57,00001001111101100110110010100100000010111111010000110011110100101111010010000010
36,36,9.05,248.04079999999973,1568.93,00001001111101100110110010100100000010111111010000110011110100101111010010000010
37,37,9.05,288.0260999999998,1568.93,00001001111101100110110010100100000010111111010000110011110100101111010010000010
38,38,9.05,317.19559999999984,1999.64,00001001111101100110110010100100000010111111010000110011110100101111010010000010
39,39,9.05,357.1859999999999,1477.64,00001001111101100110110010100100000010111111010000110011110100101111010010000010
40,40,9.05,293.9907999999998,2522.25,00001001111101100110110010100100000010111111010000110011110100101111010010000010
