,Epoch,Fitness Value,Individual
0,1,5843.36,11101001101001111110111010111111001011110111011010010010110100001101011010101111
1,2,4498.69,01101001111101110110111010111111001011111111011010010010110100001101011010101111
2,3,3508.73,01101001011001110110111010111110000010111111010010010010110110001101011010111111
3,4,2579.18,01101001011001100110111010111110001010111111010010011011110100001110010010111111
4,5,1634.65,01101001011001100110110010111110000000111111010010010011110100001111011010111011
5,6,1225.42,01101001011101100110110010111110001010111111010000010011110100001111011010111010
6,7,632.78,01101001111101100110110010111110000010111111010000010011110110001111011010111111
7,8,540.29,01001001111101100110110010111110000010111111010000010011110100001111011010111110
8,9,185.15,00101001111101100110110010101110000010111111010000110011110110001111011010101100
9,10,107.35,00001001111101100110110010101110000010111111010000110011110110001111011010111110
10,11,81.66,00001001111101100110110010100110000010111111010000110011110110001111011010111110
11,12,64.8,00001001111101100110110010100110000010111111010001110011110100001111011010111110
12,13,33.89,00001001111101100110110010100100000010111111010001110011110100001111011010111110
13,14,28.89,00001001111101100110110010100100000010111111010001110011110100001111011010011110
14,15,23.89,00001001111101100110110010100100000010111111010001110011110100001111011010001110
15,16,16.08,00001001111101100110110010100100000010111111010001110011110100001111010010101110
16,17,16.08,00001001111101100110110010100100000010111111010001110011110100001111010010101110
17,18,10.0,00001001111101100110110010100100000010111111010001110011110100101111010010101110
18,19,10.0,00001001111101100110110010100100000010111111010001110011110100101111010010101110
19,20,5.0,00001001111101100110110010100100000010111111010001110011110100101111010010001110
20,21,0.0,00001001111101100110110010100100000010111111010001110011110100101111010010001010
