,Epoch,Fitness Value,Fitness Mean Value,Individual
0,-1,8855.7,12915.335899999996,11110001101110000010110010010111010100000001010000101111101110001101001100011001
1,1,6140.28,9201.287300000002,00110001100000000010110010110111010100000001010000111011100100001110000010111001
2,2,4766.68,6899.041699999999,11111011101000100110110000010111010100010101010000111011100100101110000100011001
3,3,4035.24,5372.084,11111011101000100010110000010111000100010101010000101011100100101110010110001001
4,4,2830.79,4491.599600000002,11111001101000100110110010010111000000010111010000111011100100101111010010010001
5,5,1606.84,3607.8679000000016,11111011101100100110110010000100000000110111010000111011110100101110010010010001
6,6,1493.71,2483.8276,11111011111101100110110010000100000000110111010000111011110100101100010010010001
7,7,1132.36,2118.4744000000005,11111011111101100110110010000110000100110111010000110011110100101110010010010000
8,8,873.41,1774.6168,11111011111101100110110010000100000100111111010000110011110100101110010010010000
9,9,398.22,1575.4263000000005,01001011111101100110110010000100000000111101010000110011110100101111010010010000
10,10,235.09,1329.5224000000003,01001011111101100110110010100100000000111101010000100011110100101111010010010001
11,11,169.97,1077.4180999999999,00001011111101100110110010100100000000111101010000100011110100101111010000010001
12,12,138.99,943.1132999999999,00001011111101100110110010100100000000111111010000100011110100101111010000010001
13,13,68.61,945.6033000000003,00001011111101100110110010100100000010111101010000110011110100101111011010010001
14,14,24.82,867.5665000000001,00001011111101100110110010100100000010111111010000110011110100101111010010010001
15,15,19.7,660.6239,00001011111101100110110010100100000010111111010000110011110100101111010010010011
16,16,14.7,860.7178000000005,00001011111101100110110010100100000010111111010000110011110100101111010010000011
17,17,10.65,834.0587999999999,00001011111101100110110010100100000010111111010001110011110100101111010010000011
18,18,5.65,829.6937999999999,00001011111101100110110010100100000010111111010001110011110100101111010010001011
19,19,5.65,867.4314999999998,00001011111101100110110010100100000010111111010001110011110100101111010010001011
20,20,5.65,791.0497999999998,00001011111101100110110010100100000010111111010001110011110100101111010010001011
21,21,5.65,729.8495999999999,00001011111101100110110010100100000010111111010001110011110100101111010010001011
22,22,5.65,717.6432000000001,00001011111101100110110010100100000010111111010001110011110100101111010010001011
23,23,2.0,858.8097,00001001111101100110110010100100000010111111010001110011110100101111010010001011
24,24,2.0,780.7948,00001001111101100110110010100100000010111111010001110011110100101111010010001011
25,25,0.0,792.6632999999997,00001001111101100110110010100100000010111111010001110011110100101111010010001010
