,Epoch,Fitness Value,Fitness Mean Value,Fitness Worst Value,Individual
0,-1,8288.23,12964.089200000002,18393.4,11001101001100110110110001100110000000111001011000001001010001011000101010000110
1,1,6419.36,8696.233999999999,11201.82,00001101110101100110100001101100000000110001110000001010010001011110111010001100
2,2,3905.9,7008.113299999998,9568.16,00001100111101100110110011101100000100011001010000101011010010011110011010001100
3,3,3382.96,4809.293400000002,6821.64,00001000111101100110100011101100000100011001010000001011010010011110011010001100
4,4,2613.6,4031.0412000000006,5649.83,00001000111101100110110011100100000100011101010000001011010010001110011010001100
5,5,1705.46,3327.809600000001,5082.85,00001010111101100110110011100100000110111101010000001011010110001110011010001100
6,6,857.68,2534.0586000000003,5419.96,00001010111101100110110010100100000110111101010000001011010110001110011010001100
7,7,808.88,1832.3752999999995,4635.66,00001011111101100110110010100100000110111101010000001011010110001110011010001000
8,8,665.51,1536.2216,3697.38,00001010111101100110110010100100000110111101010000000011010110001110011010001100
9,9,474.95,1525.6613000000004,3673.12,00101010111101100110110010100110000110111101010000000011110110001110011010001100
10,10,322.85,1341.2884999999997,3309.86,00001011111101100110110010100110000110111101010000000011110100001110010010001000
11,11,243.29,1081.6736000000003,2779.01,00001010111101100110110010100110000110111101010000000011110100001111010010101100
12,12,157.62,949.8908999999994,3079.8,00001010110101100110110010100110000010111101010000000011110100001111010010101100
13,13,63.8,947.5314000000004,2724.77,00001001111101100110110010100110000010111111010000000011110100001111010010101100
14,14,58.93,781.2594000000006,2836.28,00001001111101100110110010100110000010111111010000010011110100001111010010101100
15,15,28.02,798.7240000000004,3112.12,00001001111101100110110010100100000010111111010000010011110100001111010010101100
16,16,18.97,733.5685999999998,3657.19,00001001111101100110110010100100000010111111010001010011110100001111010010001100
17,17,18.02,749.4040000000006,2637.53,00001001111101100110110010100100000010111111010000010011110100001111010010001000
18,18,18.02,812.1228000000001,2869.56,00001001111101100110110010100100000010111111010000010011110100001111010010001000
19,19,11.94,840.0106999999996,2441.18,00001001111101100110110010100100000010111111010000010011110100101111010010001000
20,20,6.82,662.4554000000003,2717.2,00001001111101100110110010100100000010111111010000010011110100101111010010001010
21,21,4.05,750.6947999999996,2868.31,00001001111101100110110010100100000010111111010000110011110100101111010010001010
22,22,4.05,797.9122000000006,3335.46,00001001111101100110110010100100000010111111010000110011110100101111010010001010
23,23,0.0,762.9646999999998,2482.33,00001001111101100110110010100100000010111111010001110011110100101111010010001010
