,Epoch,Fitness Value,Individual
0,1,5695.95,11110000111101110110111100011110001110111111011011010000110100101101011000010110
1,2,3816.31,01111001111101100110111010011110001010111111010011010000110100001101010011010110
2,3,3404.91,01111001110101100110111010011110001010111111000011010010110100001101010011010110
3,4,2307.61,01111001110101100110101010001110000010111111010011010010100100001111010011000110
4,5,1583.28,00111001110101100110101010111110000010111111000011110011110100101111010010001110
5,6,1005.44,01111001110101100110100010101110000010111111000011010011110100001111010010100010
6,7,580.84,01111001110101100110100010101110000010111111000001010011110100001111010010110010
7,8,318.7,00111001110101100110100010101100000010111111010001010011110100101111010010110010
8,9,174.67,00101001110101100110100010101100000010111111010001010011110100101111010010110010
9,10,169.67,00101001110101100110100010101100000010111111010001010011110100101111010010100010
10,11,89.41,00001001111101100110100010101100000010111111010001010011110110101111010010100010
11,12,81.72,00001001111101100110100010101100000010111111010001010011110100101111010010100000
12,13,56.03,00001001111101100110100010100100000010111111010001010011110100101111010010100000
13,14,15.12,00001001111101100110110010100100000010111111010001110011110100101111010010100000
14,15,15.12,00001001111101100110110010100100000010111111010001110011110100101111010010100000
15,16,10.12,00001001111101100110110010100100000010111111010001110011110100101111010010000000
16,17,9.99,00001001111101100110110010100100000010111111010001100011110100101111010010001000
17,18,5.12,00001001111101100110110010100100000010111111010001110011110100101111010010001000
18,19,4.87,00001001111101100110110010100100000010111111010001100011110100101111010010001010
19,20,0.0,00001001111101100110110010100100000010111111010001110011110100101111010010001010
